Last Activity Date,部署,Display Name,Meeting Created Count の合計,Read Count の合計,Receive Count の合計,Meeting Interacted Count の合計,Report Period の合計
2022/12/23 0:00,その他,ユーザー2509,64,1401,1529,16,180
2022/12/24 0:00,その他,ユーザー3696,64,11607,12848,878,180
2022/12/23 0:00,その他,ユーザー4491,64,695,668,20,180
2022/12/23 0:00,その他,ユーザー6029,64,1495,1381,52,180
2022/12/23 0:00,その他,ユーザー6366,64,6043,5852,19,180
2022/12/23 0:00,その他,ユーザー4312,63,815,767,48,180
2022/12/24 0:00,その他,ユーザー4327,63,2634,20056,15,180
2022/12/24 0:00,その他,ユーザー5529,63,2614,2171,502,180
2022/12/23 0:00,部署 A,ユーザー0381,62,20676,24526,29,180
2022/12/23 0:00,部署 A,ユーザー0566,62,2171,2423,0,180
2022/12/23 0:00,部署 A,ユーザー0818,62,2789,2798,18,180
2022/12/24 0:00,その他,ユーザー2703,62,2545,2905,6,180
2022/12/23 0:00,その他,ユーザー2963,62,6271,15204,75,180
2022/12/23 0:00,その他,ユーザー3273,62,2857,2653,187,180
2022/12/23 0:00,部署 A,ユーザー0908,61,24163,25664,24,180
2022/12/24 0:00,その他,ユーザー2177,61,5582,5454,12,180
2022/12/23 0:00,その他,ユーザー2848,61,2576,2536,142,180
2022/12/23 0:00,その他,ユーザー4228,61,2039,3583,20,180
2022/12/24 0:00,その他,ユーザー4605,61,15526,15297,1,180
2022/12/23 0:00,その他,ユーザー5874,61,5955,5580,24,180
2022/12/23 0:00,その他,ユーザー6424,61,2192,2091,28,180
2022/12/23 0:00,その他,ユーザー6698,61,3044,9933,35,180
2022/12/24 0:00,部署 A,ユーザー0914,60,9178,14362,5,180
2022/12/22 0:00,その他,ユーザー3045,60,4238,9200,44,180
2022/12/23 0:00,その他,ユーザー3781,60,2627,2477,14,180
2022/12/23 0:00,その他,ユーザー4322,60,6885,7098,39,180
2022/12/23 0:00,その他,ユーザー5560,60,1354,1930,10,180
2022/12/23 0:00,部署 A,ユーザー0116,59,4778,3370,16,180
2022/12/23 0:00,その他,ユーザー3468,59,1131,1105,106,180
2022/12/23 0:00,その他,ユーザー5353,59,3436,7238,591,180
2022/12/23 0:00,その他,ユーザー1927,58,11171,15035,362,180
2022/12/23 0:00,その他,ユーザー4009,58,4495,8572,37,180
2022/12/23 0:00,その他,ユーザー4716,58,2422,2325,86,180
2022/12/23 0:00,その他,ユーザー5974,58,9322,9128,69,180
2022/12/23 0:00,その他,ユーザー6873,58,949,964,19,180
2022/12/23 0:00,その他,ユーザー7001,58,2536,3078,23,180
2022/12/23 0:00,その他,ユーザー7651,58,5428,5811,42,180
2022/12/23 0:00,その他,ユーザー7729,58,5456,4675,10,180
2022/12/23 0:00,その他,ユーザー2532,57,6524,6139,104,180
2022/12/23 0:00,その他,ユーザー2801,57,14413,14243,298,180
